"min_ngram","max_ngram","max_df","min_df","max_features","hidden_layer_sizes","learning_rate","alpha"
"1","1","0.8","0.0","None","[100, 50]","0.01","0.01"
"1","1","0.8","0.0","None","[50, 50, 50]","0.01","0.01"
"1","1","0.8","0.0","None","[400, 50]","0.01","0.01"
"1","1","0.8","0.0","","[100, 75]","0.01","0.001"
"1","1","0.8","0.0","","[100, 75]","0.01","0.01"
"1","1","0.8","0.0","","[60, 70, 80]","0.01","0.001"
"1","1","0.8","0.0","","[60, 70, 80]","0.01","0.01"
"1","1","0.8","0.0","","[75, 100, 125]","0.01","0.001"
"1","1","0.8","0.0","","[75, 100, 125]","0.01","0.01"
"1","1","0.8","0.0","","[200, 250, 300]","0.01","0.001"
"1","1","0.8","0.0","","[200, 250, 300]","0.01","0.01"
"1","1","0.8","0.0","","[120, 130, 140]","0.01","0.001"
"1","1","0.8","0.0","","[120, 130, 140]","0.01","0.01"
"1","1","0.8","0.1","","[100, 75]","0.01","0.001"
"1","1","0.8","0.1","","[100, 75]","0.01","0.01"
"1","1","0.8","0.1","","[60, 70, 80]","0.01","0.001"
"1","1","0.8","0.1","","[60, 70, 80]","0.01","0.01"
"1","1","0.8","0.1","","[75, 100, 125]","0.01","0.001"
"1","1","0.8","0.1","","[75, 100, 125]","0.01","0.01"
"1","1","0.8","0.1","","[200, 250, 300]","0.01","0.001"
"1","1","0.8","0.1","","[200, 250, 300]","0.01","0.01"
"1","1","0.8","0.1","","[120, 130, 140]","0.01","0.001"
"1","1","0.8","0.1","","[120, 130, 140]","0.01","0.01"
"1","2","0.8","0.0","","[100, 75]","0.01","0.001"
"1","2","0.8","0.0","","[100, 75]","0.01","0.01"
"1","2","0.8","0.0","","[60, 70, 80]","0.01","0.001"
"1","2","0.8","0.0","","[60, 70, 80]","0.01","0.01"
"1","2","0.8","0.0","","[75, 100, 125]","0.01","0.001"
"1","2","0.8","0.0","","[75, 100, 125]","0.01","0.01"
"1","2","0.8","0.0","","[200, 250, 300]","0.01","0.001"
"1","2","0.8","0.0","","[200, 250, 300]","0.01","0.01"
"1","2","0.8","0.0","","[120, 130, 140]","0.01","0.001"
"1","2","0.8","0.0","","[120, 130, 140]","0.01","0.01"
"1","2","0.8","0.1","","[100, 75]","0.01","0.001"
"1","2","0.8","0.1","","[100, 75]","0.01","0.01"
"1","2","0.8","0.1","","[60, 70, 80]","0.01","0.001"
"1","2","0.8","0.1","","[60, 70, 80]","0.01","0.01"
"1","2","0.8","0.1","","[75, 100, 125]","0.01","0.001"
"1","2","0.8","0.1","","[75, 100, 125]","0.01","0.01"
"1","2","0.8","0.1","","[200, 250, 300]","0.01","0.001"
"1","2","0.8","0.1","","[200, 250, 300]","0.01","0.01"
"1","2","0.8","0.1","","[120, 130, 140]","0.01","0.001"
"1","2","0.8","0.1","","[120, 130, 140]","0.01","0.01"
