"ngram_range","max_df","min_df","max_features","hidden_layer_sizes","learning_rate","alpha","accuracy","f1 macro","fit time"
"(1, 1)","0.8","0","","[100, 50]","0.01","0.001","0.13320413436692508","0.09714963425937626","97.63852047920227"
"(1, 1)","0.8","0","","[100, 50]","0.01","0.01","0.13617571059431527","0.10268196187937435","62.697902250289914"
"(1, 1)","0.8","0","","[100, 50]","0.01","0.1","0.14728682170542634","0.10423585314177823","372.44880719184874"
"(1, 1)","0.8","0","","[100, 50]","0.001","0.001","0.13281653746770025","0.09923074397395579","320.41772055625916"
"(1, 1)","0.8","0","","[100, 50]","0.001","0.01","0.14560723514211887","0.11183146034574513","441.07323904037474"
"(1, 1)","0.8","0","","[100, 50]","0.001","0.1","0.13488372093023254","0.10057786003597269","497.09911766052244"
"(1, 1)","0.8","0","","[50, 50, 50]","0.01","0.001","0.08294573643410853","0.05912058750225076","40.1592013835907"
"(1, 1)","0.8","0","","[50, 50, 50]","0.01","0.01","0.07868217054263565","0.05712087772933856","63.81879544258118"
"(1, 1)","0.8","0","","[50, 50, 50]","0.01","0.1","0.06408268733850128","0.04498163184997427","145.86953268051147"
"(1, 1)","0.8","0","","[50, 50, 50]","0.001","0.001","0.04935400516795865","0.03455944030246528","198.81099333763123"
"(1, 1)","0.8","0","","[50, 50, 50]","0.001","0.01","0.05051679586563307","0.037119760681291136","169.69273595809938"
"(1, 1)","0.8","0","","[50, 50, 50]","0.001","0.1","0.029198966408268728","0.02128316064503469","252.90315437316895"
"(1, 1)","0.8","0","","[400, 50]","0.01","0.001","0.14056847545219636","0.10657999648827624","344.27680406570437"
"(1, 1)","0.8","0","","[400, 50]","0.01","0.01","0.14715762273901808","0.10922642549808159","443.81629877090455"
"(1, 1)","0.8","0","","[400, 50]","0.01","0.1","0.14767441860465116","0.10788775736595221","1700.695815181732"
"(1, 1)","0.8","0","","[400, 50]","0.001","0.001","0.1525839793281654","0.11455560858116384","1303.3356964111329"
"(1, 1)","0.8","0","","[400, 50]","0.001","0.01","0.1612403100775194","0.12351309649639905","1690.048903799057"
"(1, 1)","0.8","0","","[400, 50]","0.001","0.1","0.14069767441860465","0.10314347069639244","2249.104260015488"
